Creditability,Customer ID ,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
0,773,2,36,2,5,2384,1,2,4,0,3,1,1,4,33,3,1,1,2,1,647,1
0,1509,1,18,2,0,1216,1,2,4,0,2,1,3,3,23,3,1,1,3,1,403,1
0,1573,4,18,4,6,1864,2,3,4,1,2,1,2,1,30,3,2,2,3,1,403,1
0,3173,2,36,3,9,4455,1,3,2,0,1,1,2,1,30,2,2,2,4,1,647,1
0,3589,1,15,2,0,3959,1,3,3,0,2,1,2,2,29,3,2,1,3,1,403,1
0,5125,2,48,1,9,6416,1,5,4,0,2,1,3,4,59,3,1,1,3,1,647,1
0,5541,1,12,2,0,1228,1,3,4,0,2,1,2,1,24,3,2,1,2,1,647,1
0,7557,2,12,2,0,685,1,4,2,0,4,1,3,3,25,1,2,1,2,1,403,1
0,9797,3,9,2,3,745,1,3,3,1,2,1,2,1,28,3,2,1,2,1,403,1
0,11365,1,12,4,0,3499,1,3,3,0,2,2,2,1,29,3,2,2,3,1,647,1
0,12101,1,12,0,5,1108,1,4,4,0,3,1,3,1,28,3,2,2,3,1,403,1
0,12421,2,9,2,2,918,1,3,4,0,2,1,1,2,30,3,2,1,3,1,403,1
0,13733,2,9,4,6,1501,1,5,2,0,2,1,3,3,34,3,2,2,4,1,403,1
0,13861,4,12,3,5,1555,4,5,4,1,3,1,4,4,55,3,3,2,3,2,647,1
0,14469,2,12,2,3,766,3,3,4,0,3,1,3,1,66,3,2,1,2,1,403,1
0,14885,1,28,2,0,4006,1,3,3,0,3,1,2,3,45,3,2,1,2,1,403,1
0,16613,4,36,2,6,1819,1,3,4,1,3,1,4,4,37,2,3,1,3,1,403,1
0,16645,4,24,2,3,5943,5,2,1,1,2,1,1,3,44,3,2,2,3,1,403,1
0,16677,4,36,4,2,7127,1,2,2,1,2,1,4,2,23,3,1,2,3,1,647,1
0,16709,4,36,2,2,3349,1,3,4,1,2,1,2,3,28,3,2,1,4,1,403,1
0,16741,4,36,2,2,10974,1,1,4,1,2,1,2,3,26,3,2,2,4,1,647,1
0,17349,2,9,2,3,1670,1,2,4,0,2,1,2,3,22,3,2,1,3,1,403,1
0,17413,2,12,2,2,1922,1,3,4,0,3,1,2,2,37,3,2,1,2,1,647,1
0,18053,2,60,2,0,7408,2,2,4,0,2,1,2,2,24,3,2,1,4,1,403,1
